freq_hz,measured_gain,fitted_gain,fit_abs_error,fit_rel_error_percent,original_theory_gain,original_rel_error_percent
100.0,4.98,4.949617,0.030383,0.614,4.932275,0.968
200.0,4.72,4.720873,-0.000873,-0.018,4.744104,-0.508
300.0,4.4,4.401301,-0.001301,-0.03,4.472178,-1.614
400.0,4.02,4.046369,-0.026369,-0.652,4.1578,-3.314
500.0,3.7,3.695344,0.004656,0.126,3.834133,-3.498
600.0,3.34,3.369359,-0.029359,-0.871,3.522302,-5.176
700.0,3.05,3.076671,-0.026671,-0.867,3.233196,-5.666
800.0,2.8,2.8183,-0.0183,-0.649,2.970895,-5.752
900.0,2.59,2.591867,-0.001867,-0.072,2.735599,-5.322
1000.0,2.38,2.393749,-0.013749,-0.574,2.525593,-5.765
1100.0,2.22,2.220138,-0.000138,-0.006,2.338388,-5.063
1200.0,2.08,2.067497,0.012503,0.605,2.171328,-4.206
1300.0,1.95,1.932724,0.017276,0.894,2.021885,-3.555
1400.0,1.83,1.813174,0.016826,0.928,1.887778,-3.061
1500.0,1.72,1.706622,0.013378,0.784,1.767009,-2.66
1600.0,1.64,1.611207,0.028793,1.787,1.657854,-1.077
1700.0,1.52,1.525375,-0.005375,-0.352,1.558836,-2.491
1800.0,1.44,1.447826,-0.007826,-0.541,1.468696,-1.954
1900.0,1.38,1.377473,0.002527,0.183,1.386361,-0.459
2000.0,1.31,1.313398,-0.003398,-0.259,1.310913,-0.07
2100.0,1.25,1.254828,-0.004828,-0.385,1.241568,0.679
2200.0,1.21,1.201105,0.008895,0.741,1.177652,2.747
2300.0,1.16,1.151671,0.008329,0.723,1.118585,3.702
2400.0,1.11,1.106044,0.003956,0.358,1.063864,4.337
2500.0,1.07,1.063813,0.006187,0.582,1.013054,5.621
2600.0,1.04,1.024619,0.015381,1.501,0.965774,7.686
2700.0,1.0,0.988155,0.011845,1.199,0.921691,8.496
2800.0,0.964,0.954149,0.009851,1.032,0.880513,9.482
2900.0,0.932,0.922366,0.009634,1.044,0.841982,10.691
3000.0,0.904,0.892598,0.011402,1.277,0.805869,12.177
